"id","name","latitude","longitude","elevation","temperature"
"188790","Abisko Aut","68.3538","18.8164","392.235",""
"97280","Adelsö A","59.3579","17.5213","5.612","5.1"
"9013","Alskog","57.3271","18.6162","0","6"
"167710","Arjeplog A","66.0513","17.8396","430.839","-6.1"
"159880","Arvidsjaur A","65.5941","19.2642","382.45","-6"
"92410","Arvika A","59.6743","12.6354","65.758",""
"98040","Berga","59.068","18.115","4.3",""
"151280","Bjuröklubb A","64.4799","21.5754","35.41","-1.7"
"92130","Blomskog A","59.2213","12.0754","169.645","3.2"
"132110","Blåhammaren A","63.1854","12.1734","1086.952",""
"161940","Boden","65.814","21.635","25.2",""
"105260","Borlänge Flygplats","60.4294","15.5079","152",""
"127130","Brämön A","62.2198","17.739","18.13","1.4"
"157870","Buresjön A","65.558","17.8554","394.05","-4.9"
"123460","Börtnan A","62.7548","13.8427","467.246","-4.5"
"94390","Daglösen A","59.6612","14.1803","133.077",""
"116490","Delsbo A","61.8264","16.5385","70.667","-0.1"
"123060","Dravagen A","62.0936","13.6086","566.642","-3.8"
"115220","Edsbyn A","61.3607","15.7144","183.648","0.4"
"107440","Eggegrund A","60.7298","17.5584","3.731",""
"97370","Enköping","59.65","17.12","24.6","3.9"
"96190","Eskilstuna A","59.3825","16.4522","10.4","4.3"
"52240","Falsterbo A","55.3837","12.8166","1.575","6.3"
"107140","Film A","60.2358","17.9043","33.381","4.7"
"96040","Floda A","59.0558","16.3944","31.337",""
"148040","Fredrika A","64.0744","18.3619","327.684","-2.4"
"78550","Fårösund Ar A","57.9165","18.9533","12.756","6"
"134410","Föllinge A","63.6761","14.6048","361.8","-3.1"
"155790","Gielas A","65.3269","15.0645","578.328",""
"76420","Gladhammar A","57.7068","16.4526","35.277","4.9"
"89230","Gotska Sandön A","58.3939","19.194","15.911","6"
"145130","Gubbhögen A","64.2172","15.5529","310.221","-5"
"147560","Gunnarn A","65.0094","17.6993","275.491","-5.9"
"103100","Gustavsfors A","60.1533","13.799","187.153","2.1"
"144310","Gäddede A","64.5044","14.2207","553.025","-4.3"
"180760","Gällivare A","67.1407","20.6413","358.975","-8.4"
"107420","Gävle A","60.7161","17.1607","16.125","2.3"
"84520","Gårdsjö A","58.8768","14.3875","210.675","0.3"
"71420","Göteborg A","57.7156","11.9924","3.038","5.2"
"72420","Göteborg-Landvetter Flygplats","57.6764","12.2919","154","3"
"74180","Hagshult","57.292","14.137","169.6","3.7"
"62260","Hallands Väderö A","56.4496","12.5453","9.172","5.3"
"135460","Hallhåxåsen A","63.7685","15.3279","375.391","-3.6"
"62410","Halmstad flygplats","56.6833","12.8167","31","5"
"114410","Hamra A","61.6599","14.9918","453.588",""
"64020","Hanö A","56.0135","14.8463","58.622",""
"163960","Haparanda A","65.8237","24.1112","13.243","-3.7"
"87140","Harstena A","58.2506","17.0074","5","5.6"
"62040","Helsingborg A","56.0304","12.7628","43.07",""
"155970","Hemavan Flygplats","65.8077","15.0854","458",""
"155960","Hemavan-Gierevarto A","65.7813","15.0623","793.504",""
"138390","Hemling A","63.6503","18.5466","182.186","-1.7"
"68560","Hoburg A","56.9209","18.1506","34.118","6.6"
"140460","Holmön A","63.807","20.8645","6.535","0.7"
"75520","Horn A","57.8861","15.8623","89.822",""
"146050","Hoting A","64.0875","16.2356","241.55","-2.6"
"125440","Hunge A","62.7504","15.0845","343.238","-0.3"
"83190","Hällum A","58.3218","13.0379","70.071","2.7"
"63160","Hästveda","56.28","13.9431","102.5","4.6"
"19025","Höksta","59.4176","16.1717","0",""
"53530","Hörby A","55.8624","13.6673","112.812","5.9"
"112540","Idre Fjäll","61.8897","12.8525","866.126",""
"170860","Jokkmokk Flygplats","66.491","20.142","275.4","-6.5"
"136410","Junsele A","63.6839","16.95","218.766",""
"139260","Järnäsklubb A","63.4351","19.6731","5.928","2.2"
"74460","Jönköping-Axamos Flygplats","57.7514","14.0733","226","3.2"
"66420","Kalmar flygplats","56.6784","16.2922","6",""
"192840","Karesuando A","68.4418","22.4435","329.68","-10.8"
"84310","Karlsborg","58.514","14.507","94.5","2.2"
"65090","Karlskrona-Söderstjerna","56.15","15.589","2.4","6.9"
"93220","Karlstad Flygplats","59.4446","13.3374","107",""
"188850","Katterjåkk A","68.4202","18.168","514.248","-6.9"
"106160","Kerstinbo A","60.2683","16.9738","55.695","3.2"
"85460","Kettstaka A","58.7162","15.0271","224.876","2.1"
"94190","Kilsbergen-Suttarboda A","59.2996","14.8956","218.353","2.8"
"180940","Kiruna Flygplats","67.827","20.3387","459","-7.1"
"95540","Kloten A","59.8703","15.2522","283.21","2.4"
"124300","Klövsjöhöjden A","62.4952","14.1542","802.503",""
"86420","Kolmården-Strömsfors A","58.6892","16.3069","153.613",""
"133500","Korsvattnet A","63.8385","13.5009","716.605",""
"65510","Kosta","56.841","15.471","230","3.8"
"82360","Kroppefjäll-Granan A","58.6065","12.1973","173.75","2.2"
"136090","Krångede A","63.1512","16.1699","183.123","-0.8"
"117430","Kuggören A","61.7027","17.5216","8.568",""
"85390","Kvarn","58.645","15.434","71.9","3.6"
"167990","Kvikkjokk-Årrenjarka A","66.8874","18.0198","314.692",""
"171790","Lakaträsk A","66.2789","21.1285","185.031","-7.6"
"87440","Landsort A","58.7429","17.8684","17.484",""
"180770","Latnivaara A","67.2551","20.2704","453.191","-8.2"
"83320","Lidköping","58.5029","13.1274","49.29",""
"85240","Linköping-Malmslätt","58.398","15.523","94","4.1"
"63510","Ljungby A","56.8525","13.8794","148.485","3.9"
"162860","Luleå-Kallax Flygplats","65.543","22.124","19.9","-5.5"
"128390","Lungö A","62.6417","18.0899","14.325","1.5"
"148330","Lycksele A","64.5481","18.713","210.07","-3.4"
"85050","Malexander A","58.0716","15.233","197.27",""
"52350","Malmö A","55.5715","13.0708","19.757","6"
"53300","Malmö-Sturup Flygplats","55.5231","13.3787","72","5.7"
"103420","Malung A","60.6765","13.7072","302.583","0.1"
"158740","Malå-Brännan A","65.1512","18.5935","363.111","-5.1"
"166910","Mierkenis A","66.6802","16.1053","613.982",""
"104580","Mora A","60.9601","14.5041","195.417","0.5"
"75250","Målilla A","57.3845","15.8009","95.667",""
"81050","Måseskär A","58.0937","11.3312","14.973",""
"191910","Naimakka A","68.6762","21.5229","402.202","-10.6"
"170930","Nattavaara A","66.7516","20.9238","327.631","-7.4"
"83420","Naven A","58.6994","13.1084","53.314",""
"71190","Nidingen A","57.3036","11.9049","3.785","5.3"
"179960","Nikkaluokta A","67.8527","19.0212","466.765",""
"81540","Nordkoster A","58.892","11.0038","33.362",""
"86340","Norrköping-SMHI","58.5828","16.147","40.334",""
"149560","Norsjö A","64.9253","19.3744","309.576","-4.1"
"172940","Paharova A","66.8094","22.3315","227.643",""
"183750","Pajala A","67.2036","23.3899","163.774","-6"
"182910","Parkalompolo A","67.7301","22.8219","312.183",""
"149340","Petisträsk A","64.5659","19.6943","258.047","-2.2"
"161710","Pite-Rönnskär A","65.034","21.5609","4.878","-4"
"189720","Rensjön A","68.073","19.8351","493.651","-7.4"
"177930","Ritsem A","67.7255","17.4668","541.214","-8.3"
"65160","Ronneby-Bredåkra","56.267","15.265","58.2","5.9"
"73480","Rångedala A","57.7846","13.1642","297.467","2.2"
"162790","Rödkallen A","65.3121","22.3709","1.932","-3.6"
"19099","Sagån","59.6338","16.8557","0","4.7"
"182810","Saittarova A","67.3363","22.2288","240.652","-9.4"
"96560","Sala A","59.9093","16.6843","56.575","4.1"
"139120","Skagsudde A","63.1872","19.0199","9.343","1.6"
"98160","Skarpö A","59.3446","18.7404","19.287",""
"151380","Skellefteå Flygplats","64.6244","21.0717","48",""
"54290","Skillinge A","55.489","14.3144","4.016",""
"154730","Stekenjokk A","65.0929","14.5055","1037.322","-7.7"
"97400","Stockholm-Arlanda Flygplats","59.6269","17.9545","42","4"
"97200","Stockholm-Bromma Flygplats","59.3537","17.9513","14","5.1"
"98230","Stockholm-Observatoriekullen A","59.3417","18.0549","43.133","5.7"
"178860","Stora Sjöfallet A","67.4948","18.2907","426.536","-5.9"
"105220","Stora Spånsberget A","60.3817","15.1374","492.257","0.6"
"132170","Storlien-Storvallen A","63.2826","12.1218","583.124","-9"
"163900","Storön A","65.6972","23.0959","2.394",""
"127310","Sundsvall-Timrå Flygplats","62.5246","17.441","4",""
"93520","Sunne A","59.8639","13.1166","108.947",""
